	I	O	P	pmid	y
2332	Therefore, a total of 86 patients with newly diagnosed arterial hypertension and echocardiographic evidence of left ventricular hypertrophy underwent randomized treatment with captopril (n = 43) or nitrendipine (n = 43).	Before and after the 6th and 38th weeks of treatment all patients underwent ambulatory 24-hour blood pressure monitoring, M-mode echo assessment of left ventricular mass and Doppler evaluation of left ventricular filling.	Therefore, a total of 86 patients with newly diagnosed arterial hypertension and echocardiographic evidence of left ventricular hypertrophy underwent randomized treatment with captopril (n = 43) or nitrendipine (n = 43).	7954561	-1
2333	Nine patients with sitting blood pressure > or = 95 mm Hg and < or = 105 mm Hg at the end of a 4-week placebo run-in period entered the double-blind phase of the study, which consisted of three 6-week periods during which patients were treated with placebo, enalapril (20 mg, once daily), or losartan (50 mg, once daily) The angiotensin-converting enzyme activity in T lymphocytes was measured as the activity of the degradation of the substrate Hippuryl-His-Leu and as the appearance of the dipeptide His-Leu, which was quantified spectrofluorometrically.	Angiotensin II receptor type 1 antagonism with losartan had no effect on plasma or lymphocytic angiotensin-converting enzyme.	Angiotensin II receptor type 1 antagonism with losartan had no effect on plasma or lymphocytic angiotensin-converting enzyme.	11588528	-1
2334	by enhanced expression of the catalyzing enzyme or failure of protective factors such as glutathione) or certain external conditions (for example comedication of inducers of drug metabolism) may lead to toxic intermediates being available at relevant quantities.	Ongoing progress in molecular toxicology may aid in minimizing idiosyncratic hazards already at early stages of drug development.	From toxic precursors to safe drugs.	12109041	-1
2335	METHODS: After 2 weeks of the first wash-out period, 18 patients (7 men, 11 women, age 46 +/- 10 years) were given nisoldipine (NIS) 5 mg twice daily for 4 weeks, and after 2 weeks of the second wash-out period, the same patients were given ramipril (RAM) 2.5 mg once daily for 4 weeks.	Antianginal and anti-ischemic effects of nisoldipine and ramipril in patients with syndrome X.. BACKGROUND: Syndrome X is defined as typical angina pectoris, positive treadmill exercise test, negative intravenous ergonovine test, and angiographically normal coronary arteries.	Antianginal and anti-ischemic effects of nisoldipine and ramipril in patients with syndrome X.. BACKGROUND: Syndrome X is defined as typical angina pectoris, positive treadmill exercise test, negative intravenous ergonovine test, and angiographically normal coronary arteries.	10326170	-1
2336	Effect of quinapril versus nitrendipine on endothelial dysfunction in patients with systemic hypertension..	Effect of quinapril versus nitrendipine on endothelial dysfunction in patients with systemic hypertension..	Effect of quinapril versus nitrendipine on endothelial dysfunction in patients with systemic hypertension..	11397368	-1
2337	Comparison of effects of losartan versus enalapril on fibrinolysis and coagulation in patients with acute myocardial infarction..	Comparison of effects of losartan versus enalapril on fibrinolysis and coagulation in patients with acute myocardial infarction..	Comparison of effects of losartan versus enalapril on fibrinolysis and coagulation in patients with acute myocardial infarction..	11397366	-1
2338	Significant improvements in the success of angioplasty combined with a major reduction in complications have led to widespread use of the technique in the treatment of symptomatic patients with coronary disease.	Current approaches to preventing restenosis include the use of combined drug therapy to attack several pathophysiological processes, local delivery of drug at the site of the injury to maximize drug effect, and the use of highly specific drugs including local gene therapy.	Significant improvements in the success of angioplasty combined with a major reduction in complications have led to widespread use of the technique in the treatment of symptomatic patients with coronary disease.	7695185	-1
2339	The angiotensin converting enzyme (ACE) inhibitor, perindopril, modifies the clinical features of Parkinson's disease.. BACKGROUND: Animal studies have demonstrated an interaction within the striatum between the angiotensin and dopaminergic systems.	Patients also reported more 'on' periods during their waking day in their movement diary, p=0.007.	The angiotensin converting enzyme (ACE) inhibitor, perindopril, modifies the clinical features of Parkinson's disease.. BACKGROUND: Animal studies have demonstrated an interaction within the striatum between the angiotensin and dopaminergic systems.	10800878	-1
2340	They underwent M-mode and Doppler echocardiography and radionuclide ventriculography at the beginning and after six weeks of enalapril treatment.	A significant reduction in left ventricle and mass index were shown after six weeks of treatment with enalapril (p < 0.01).	For this purpose 30 patients (22 female and eight male) with mild to moderate essential hypertension, aged 47 +/- 2 years, were treated with enalapril maleate (MK 421, an ACE inhibitor) for six weeks.	7788682	-1
2341	Special report on the ISIS-4 study..	Special report on the ISIS-4 study..	Special report on the ISIS-4 study..	7743608	-1
2342	A combination product consisting of losartan 50 mg and hydrochlorothiazide 12.5 mg has also received approval for the treatment of hypertension.	Controlled, double-blind studies were evaluated to assess the efficacy and adverse effect profile of losartan.	OBJECTIVE: To describe a new class of antihypertensive agents, the angiotensin II receptor antagonists, with emphasis on the prototype losartan.	8792950	-1
2343	The octapeptide angiotensin II is the major effector of the renin-angiotensin-aldosterone system.	Angiotensin II causes a variety of potentially noxious biological effects, such as vasoconstriction, a rise in blood pressure, release of aldosterone, enhancement of the effect of catecholamines, and vascular and myocardial hypertrophy, including remodeling of the heart after myocardial infarction.	The role of angiotensin II receptors and their antagonists in hypertension..	10842896	-1
2344	Inhibitory effect of enalapril on neurally mediated syncope in elderly patients.. A dramatic increase in catecholamine (CA) concentration is believed to be a primary trigger of the neurally mediated syncope (NMS) in elderly subjects.	Inhibitory effect of enalapril on neurally mediated syncope in elderly patients.. A dramatic increase in catecholamine (CA) concentration is believed to be a primary trigger of the neurally mediated syncope (NMS) in elderly subjects.	Inhibitory effect of enalapril on neurally mediated syncope in elderly patients.. A dramatic increase in catecholamine (CA) concentration is believed to be a primary trigger of the neurally mediated syncope (NMS) in elderly subjects.	9554816	-1
2345	METHODS: Two hundred and forty-eight patients with advanced CHF (age 56.3+/-12 years) were randomized to receive a maximal tolerated dose of enalapril, up to 20 mg/day in group 1 (mean dose achieved 17.9+/-4.3 mg/day, n = 122) and 60 mg/day in group 2 (mean dose achieved 42+/-19.3 mg/day, n = 126).	CONCLUSIONS: No significant differences were found in survival and clinical and hemodynamic variables between patients receiving standard and those receiving high doses of enalapril.	Outcome of patients with congestive heart failure treated with standard versus high doses of enalapril: a multicenter study.	11127445	1
2346	Taste effects of lingual application of cardiovascular medications..	Medications used to treat cardiovascular diseases such as congestive heart failure, high blood pressure, and arrhythmia, are prescribed extensively in Western countries.	Medications used to treat cardiovascular diseases such as congestive heart failure, high blood pressure, and arrhythmia, are prescribed extensively in Western countries.	10716552	-1
2347	On study days, subjects received lisinopril 20 mg orally or identical placebo tablets followed 3 h later by nebulized salbutamol or placebo inhalation; plasma renin, angiotensin II, serum angiotensin-converting enzyme and potassium were measured at intervals for 120 min after inhalation.	We have previously described activation of the renin-angiotensin system in asthma, and also by high-dose nebulized beta 2-agonists.	We have previously described activation of the renin-angiotensin system in asthma, and also by high-dose nebulized beta 2-agonists.	7789045	-1
2348	Captopril-induced toxic epidermal necrolysis and agranulocytosis successfully treated with granulocyte colony-stimulating factor.. Captopril-induced bone marrow suppression is rare, except in certain high-risk patient populations.	The bone marrow suppression was successfully treated using granulocyte colony-stimulating factor (G-CSF), and the white blood cell (WBC) count recovered within 3 days after starting therapy.	Captopril-induced toxic epidermal necrolysis and agranulocytosis successfully treated with granulocyte colony-stimulating factor.. Captopril-induced bone marrow suppression is rare, except in certain high-risk patient populations.	10498172	-1
2349	Those with a positive biopsy and a left ventricular ejection fraction (LVEF) less than 45% were randomly assigned to receive immunosuppressive therapy plus conventional drug therapy for congestive heart failure (66 patients) or conventional therapy only (45 patients) for 24 weeks.	In addition to diagnostic and clinical data, serum and myocardial tissue for immunological marker analysis and histopathologic evaluation were collected at baseline and at 12, 28 and 52 weeks after randomization.	Those with a positive biopsy and a left ventricular ejection fraction (LVEF) less than 45% were randomly assigned to receive immunosuppressive therapy plus conventional drug therapy for congestive heart failure (66 patients) or conventional therapy only (45 patients) for 24 weeks.	8682088	-1
2350	We randomly assigned 471 patients to epoprostenol infusion or standard care.	The primary end point was survival; secondary end points were clinical events, congestive heart failure symptoms, distance walked in 6 minutes, and quality-of-life measures.	A randomized controlled trial of epoprostenol therapy for severe congestive heart failure: The Flolan International Randomized Survival Trial (FIRST)..	9266782	-1
2351	Acute and long-term effects of the angiotensin-converting enzyme inhibitor, enalapril, on adrenergic activity and sensitivity during exercise in patients with left ventricular systolic dysfunction..	Acute and long-term effects of the angiotensin-converting enzyme inhibitor, enalapril, on adrenergic activity and sensitivity during exercise in patients with left ventricular systolic dysfunction..	Acute and long-term effects of the angiotensin-converting enzyme inhibitor, enalapril, on adrenergic activity and sensitivity during exercise in patients with left ventricular systolic dysfunction..	9266781	-1
2352	An open prospective and randomised pilot study was therefore undertaken in mild to moderate hypertensives to evaluate the effect of various antihypertensive drugs viz enalapril, felodipine and prazosin on the blood pressure and plasma fibrinogen levels.	An open prospective and randomised pilot study was therefore undertaken in mild to moderate hypertensives to evaluate the effect of various antihypertensive drugs viz enalapril, felodipine and prazosin on the blood pressure and plasma fibrinogen levels.	Effect of various antihypertensive drugs on plasma fibrinogen levels in patients with essential hypertension..	11887299	-1
2353	Heart failure in women.. Congestive heart failure represents a growing health issue with significant morbidity, expense, and mortality.	Heart failure in women.. Congestive heart failure represents a growing health issue with significant morbidity, expense, and mortality.	Heart failure in women.. Congestive heart failure represents a growing health issue with significant morbidity, expense, and mortality.	12628079	-1
2354	METHODS: A total of 133 patients with a left ventricular ejection fraction (LVEF) between 0.30 and 0.50 and no clinical heart failure undergoing invasive revascularization for chronic stable angina were randomized to receive ramipril 10 mg once daily or placebo and were followed for a median of 33 months with echocardiography at baseline and 3, 12 and 24 months postoperatively.	Cox regression analysis, controlling for baseline LVEF and assignment to ramipril, revealed: 1) that increases in EDVI and ESVI up to three months predicted an increasing risk of a future adverse clinical outcome; and 2) that the benefit with ramipril on clinical outcome was partly dependent on a reduction in LV volumes.	METHODS: A total of 133 patients with a left ventricular ejection fraction (LVEF) between 0.30 and 0.50 and no clinical heart failure undergoing invasive revascularization for chronic stable angina were randomized to receive ramipril 10 mg once daily or placebo and were followed for a median of 33 months with echocardiography at baseline and 3, 12 and 24 months postoperatively.	11300425	1
2355	Angiotensin-converting-enzyme inhibitors in early pregnancy..	Angiotensin-converting-enzyme inhibitors in early pregnancy..	Angiotensin-converting-enzyme inhibitors in early pregnancy..	9371172	-1
2356	The efficacy of the low-dose combination of bisoprolol/hydrochlorothiazide was compared with amlodipine and enalapril.	Efficacy of low-dose combination of bisoprolol/hydrochlorothiazide compared with amlodipine and enalapril in men and women with essential hypertension..	Efficacy of low-dose combination of bisoprolol/hydrochlorothiazide compared with amlodipine and enalapril in men and women with essential hypertension..	9631978	-1
2357	Research focused on blocking the renin-angiotensin system (RAS) led to the discovery of angiotensin-converting-enzyme (ACE) inhibitors, which are effective in the treatment of hypertension but are associated with a high frequency of cough and other adverse effects.	Research focused on blocking the renin-angiotensin system (RAS) led to the discovery of angiotensin-converting-enzyme (ACE) inhibitors, which are effective in the treatment of hypertension but are associated with a high frequency of cough and other adverse effects.	Research focused on blocking the renin-angiotensin system (RAS) led to the discovery of angiotensin-converting-enzyme (ACE) inhibitors, which are effective in the treatment of hypertension but are associated with a high frequency of cough and other adverse effects.	10902066	-1
2358	METHODS: The effects of captopril (12.5 mg and 25 mg) and enalapril (5 mg and 10 mg) administered during 7-day periods on electroencephalogram (EEG), cognitive functions, and subjective assessments were investigated in healthy males.	Both systolic and diastolic blood pressure were significantly lower after administration of captopril 25 mg, whereas blood pressure was unaffected by enalapril compared with placebo.	Effects of captopril and enalapril on electroencephalogram and cognitive performance in healthy volunteers..	10424316	-1
2359	Patients were randomized into two groups to receive the conventional treatment of AMI-I (GCT) or the above therapy plus P (GP).	Influence of perindopril on left ventricular global performance during the early phase of inferior acute myocardial infarction: assessment by Tei index..	Our study included 40 patients with first AMI-I, mean age 60 years +/- 9.06 years (SD) and 24 age- and gender-matched normal patients who constituted the control group (COG).	12848875	-1
2360	Evaluation by 24-hour ambulatory blood pressure monitoring of efficacy of benazepril 20 mg plus hydrochlorothiazide 25 mg fixed combination as compared to captopril 50 mg [corrected] plus hydrochlorothiazide 25 mg fixed combination in treating mild to moderate hypertension: a double-blind, within-patient, placebo-controlled study.. In a double-blind, placebo-controlled, three-period cross-over, randomized study we evaluated the efficacy and tolerability of a fixed combination of benazepril 20 mg and hydrochlorothiazide 25 mg (BN + HCT) as compared with the fixed combination of captopril 50 mg and hydrochlorothiazide 25 mg (CP + HCT) by ambulatory blood pressure monitoring (ABPM) in patients with mild to moderate hypertension.	Evaluation by 24-hour ambulatory blood pressure monitoring of efficacy of benazepril 20 mg plus hydrochlorothiazide 25 mg fixed combination as compared to captopril 50 mg [corrected] plus hydrochlorothiazide 25 mg fixed combination in treating mild to moderate hypertension: a double-blind, within-patient, placebo-controlled study..	Evaluation by 24-hour ambulatory blood pressure monitoring of efficacy of benazepril 20 mg plus hydrochlorothiazide 25 mg fixed combination as compared to captopril 50 mg [corrected] plus hydrochlorothiazide 25 mg fixed combination in treating mild to moderate hypertension: a double-blind, within-patient, placebo-controlled study..	7869731	-1
2361	Two hours after the first 10-mg benazepril dose, the FMD was 6.67% +/- 3.9%, and after 1 month of daily 10-mg benazepril administration, the FMD was 5.59% +/- 2.9%.	Using high-resolution ultrasonography, we measured the arteria brachialis diameter at rest, during reactive hyperemia (endothelium-dependent flow-mediated dilatation [FMD]), and after sublingual nitroglycerin (endothelium-independent dilatator).	Twenty-one previously untreated hypertensive patients participated in the study (13 men, 8 women; mean age, 39.1 +/- 15 years).	10099064	-1
2362	Cases of cough within the first 60 days of treatment with losartan resulting in withdrawal of the drug were followed up with additional questionnaires.	In order to reduce the impact of carry-over effects, rate ratios were calculated for first reports of cough between days 8 and 60 using losartan as the index drug.	Cough and angiotensin II receptor antagonists: cause or confounding?.	10073748	-1
2363	Divergent cardiac response to exercise in essential hypertension vs. normotension and the effect of enalapril..	Divergent cardiac response to exercise in essential hypertension vs. normotension and the effect of enalapril..	Ten normotensive control subjects and 15 patients with moderate, essential hypertension underwent radionuclide ventriculography during graded, supine exercise (0 W-50 W-100 W).	9649912	-1
2364	Electrophysiological changes of angiotensin-converting enzyme inhibition after myocardial infarction.. To investigate whether prevention of remodeling would translate into a more stable electrophysiological profile, the investigators randomized 56 patients to treatment with angiotensin-converting enzyme (ACE) inhibition or placebo for 3 months after myocardial infarction.	Electrophysiological changes of angiotensin-converting enzyme inhibition after myocardial infarction.. To investigate whether prevention of remodeling would translate into a more stable electrophysiological profile, the investigators randomized 56 patients to treatment with angiotensin-converting enzyme (ACE) inhibition or placebo for 3 months after myocardial infarction.	Electrophysiological changes of angiotensin-converting enzyme inhibition after myocardial infarction.. To investigate whether prevention of remodeling would translate into a more stable electrophysiological profile, the investigators randomized 56 patients to treatment with angiotensin-converting enzyme (ACE) inhibition or placebo for 3 months after myocardial infarction.	10908079	-1
2365	In that trial, participants with asymptomatic or minimally symptomatic left ventricular dysfunction (New York Association class I or II, left ventricular ejection fraction < or =0.35, no treatment for heart failure) were allocated randomly to enalapril or placebo and followed for a mean (+/- SD) of 34 +/- 14 months.	Third heart sound and elevated jugular venous pressure as markers of the subsequent development of heart failure in patients with asymptomatic left ventricular dysfunction.. PURPOSE: To determine the independent prognostic value of a third heart sound (S(3)) and elevated jugular venous pressure in patients with asymptomatic left ventricular dysfunction.	In that trial, participants with asymptomatic or minimally symptomatic left ventricular dysfunction (New York Association class I or II, left ventricular ejection fraction < or =0.35, no treatment for heart failure) were allocated randomly to enalapril or placebo and followed for a mean (+/- SD) of 34 +/- 14 months.	12727575	-1
2366	Variations in magnesium and zinc in hypertensive patients receiving different treatments.. We studied the influence of captopril, atenolol, and verapamil on serum and intraerythrocyte concentrations of magnesium and zinc in 30 normotensive control subjects (12 men and 18 women, aged 30 to 65 years, mean +/- SD 45.76 +/- 12.15 years) and 30 patients with untreated mild or moderate essential hypertension (14 men and 16 women, aged 30 to 65 years, mean +/- SD 49.50 +/- 13.58 years).	Physical examination and biochemical analyses (serum Mg and Zn) were done in all participants at baseline, and in patients after 3 and 6 months of treatment.	Variations in magnesium and zinc in hypertensive patients receiving different treatments.. We studied the influence of captopril, atenolol, and verapamil on serum and intraerythrocyte concentrations of magnesium and zinc in 30 normotensive control subjects (12 men and 18 women, aged 30 to 65 years, mean +/- SD 45.76 +/- 12.15 years) and 30 patients with untreated mild or moderate essential hypertension (14 men and 16 women, aged 30 to 65 years, mean +/- SD 49.50 +/- 13.58 years).	7546494	-1
2367	Efficacy of ACE inhibitors and ATII receptor blockers in patients with microalbuminuria: a prospective study.. We compared the efficacy of treatment protocols with an angiotensin converting enzyme (ACE) inhibitor alone (enalapril, 5 mg) or angiotensin II (ATII) receptor blocker (losartan, 50 mg) or both enalapril plus losartan in patients with microalbuminuria in a prospective, randomized clinical trial. Patients were grouped randomly into one of the protocols which consisted of treatment with 5 mg enalapril daily (group 1; n=12), 50 mg losartan daily (group 2; n=12) or both drugs (group 3; n=10).	They were reevaluated with regard to HbA1c levels, lipid profiles, blood pressure and urinary albumin excretion rates (UAER) at 3-month intervals for 12 months.	Efficacy of ACE inhibitors and ATII receptor blockers in patients with microalbuminuria: a prospective study.. We compared the efficacy of treatment protocols with an angiotensin converting enzyme (ACE) inhibitor alone (enalapril, 5 mg) or angiotensin II (ATII) receptor blocker (losartan, 50 mg) or both enalapril plus losartan in patients with microalbuminuria in a prospective, randomized clinical trial.	11855793	-1
2368	The drug (20 mg) was administered either as a 4-hr colonic infusion (COLON) or as a small intestinal infusion (SI) in the first two phases and as an oral bolus solution (ORAL) in the third phase, with a 2-week washout between each treatment.	The absorption rate after COLON was much slower (lower Cmax and longer Tmax) compared to that after SI, and the apparent half-life (1.7 hr) was prolonged.	Site-differential gastrointestinal absorption of benazepril hydrochloride in healthy volunteers..	8008712	-1
2369	The antihypertensive efficacy and tolerability of formulations of enalapril and low (12.5 mg) and very low (6 mg) doses of hydrochlorothiazide (HCTZ) were compared with enalapril and placebo.	The antihypertensive efficacy and tolerability of formulations of enalapril and low (12.5 mg) and very low (6 mg) doses of hydrochlorothiazide (HCTZ) were compared with enalapril and placebo.	Four hundred and two patients with mild to moderate essential hypertension were treated with 20 mg enalapril for 8 weeks.	7546499	-1
2370	Eighty unselected patients were randomised into five treatment groups: placebo, captopril 6.25 mg, enalapril 2.5 mg, perindopril 2 mg and lisinopril 2.5 mg.	Perindopril, unlike the other ACE inhibitors studied, did not produce first-dose hypotension following its initiation in patients with congestive heart failure.	Perindopril, unlike the other ACE inhibitors studied, did not produce first-dose hypotension following its initiation in patients with congestive heart failure.	10344062	-1
2371	Weekly clinicopathological exercises.	Case records of the Massachusetts General Hospital.	Case records of the Massachusetts General Hospital.	11529215	-1
2372	Mechanisms of unpredictable adverse drug reactions..	Adverse drug reactions are common problems associated with therapy, and are major sources of morbidity and mortality.	Adverse drug reactions are common problems associated with therapy, and are major sources of morbidity and mortality.	7811401	-1
2373	METHODS: We performed a retrospective analysis of the Studies of Left Ventricular Dysfunction treatment trial, in which 2569 patients with symptomatic heart failure or a history of it were randomly assigned to receive enalapril or placebo.	The risks of hospitalization for heart failure and progression of heart failure as defined by death from pump failure and the composite end point of death or hospitalization for heart failure were compared in patients with these findings on physical examination and patients without these findings.	METHODS: We performed a retrospective analysis of the Studies of Left Ventricular Dysfunction treatment trial, in which 2569 patients with symptomatic heart failure or a history of it were randomly assigned to receive enalapril or placebo.	11529211	-1
2374	doses versus oral captopril and placebo. captopril (1.25, 12.5 and 125 mg) or placebo given as a 20 min infusion and oral captopril (25 mg) or placebo in a double-blind, double-dummy crossover study.	Anti-hypertensive effects of intravenous compared with oral captopril.. Twenty mild to moderate hypertensive subjects (11 men, 9 women, mean age 54.3 years, range 39-65 years) were studied to determine whether an intravenous form of captopril could be as safe and efficacious as an oral form and to estimate the time course of anti-hypertensive action over a wide dose range (100-fold) of i.v.	Anti-hypertensive effects of intravenous compared with oral captopril.. Twenty mild to moderate hypertensive subjects (11 men, 9 women, mean age 54.3 years, range 39-65 years) were studied to determine whether an intravenous form of captopril could be as safe and efficacious as an oral form and to estimate the time course of anti-hypertensive action over a wide dose range (100-fold) of i.v.	8583465	-1
2375	Blood pressure and TERalb were measured before and after 14 days of therapy with enalapril, 20 mg daily for 14 days.	In conclusion, enalapril decreases microvascular albumin leakage in patients with diabetic microangiopathy and normal or mildly elevated blood pressure.	In conclusion, enalapril decreases microvascular albumin leakage in patients with diabetic microangiopathy and normal or mildly elevated blood pressure.	8187356	-1
2376	After a placebo run-in period of four to six weeks, patients were randomly assigned to receive one of four oral doses of bosentan (100, 500, or 1000 mg once daily or 1000 mg twice daily), placebo, or the angiotensin-converting-enzyme inhibitor enalapril (20 mg once daily) for four weeks.	Blood pressure was measured before and after treatment.	METHODS: We studied 293 patients with mild-to-moderate essential hypertension.	9504938	-1
2377	ACE inhibitors versus AT(1) receptor antagonists in patients with chronic renal disease..	ACE inhibitors versus AT(1) receptor antagonists in patients with chronic renal disease..	ACE inhibitors versus AT(1) receptor antagonists in patients with chronic renal disease..	11912272	-1
2378	Selecting appropriate antihypertensive drug dosages..	Selecting appropriate antihypertensive drug dosages..	Selecting appropriate antihypertensive drug dosages..	7516856	-1
2379	In this multicenter, double-blind study, patients with CHF receiving diuretic treatment were consecutively randomized to treatment with trandolapril 1 mg/day for 1 month and 2 mg/day the following 2 months (n = 49), or to trandolapril as mentioned plus verapamil 240 mg/day for 1 month and 360 mg/day for 2 months (n = 51).	Cardiac event rates after acute myocardial infarction in patients treated with verapamil and trandolapril versus trandolapril alone.	Danish Verapamil Infarction Trial (DAVIT) Study Group.. Angiotensin-converting enzyme (ACE) inhibitors improve survival in patients with congestive heart failure (CHF) after an acute myocardial infarction (AMI), but mortality may be as high as 10% to 15% after 1 year.	9070551	-1
2380	OBJECTIVES: Primary objectives of stage I are to determine the efficacy (via the 6 min walk test) and safety of candesartan alone, and in combination with enalapril, versus enalapril alone.	Secondary objectives are to determine the effect of the above combinations on neurohormones, ventricular function, quality of life and symptoms.	Combination neurohormonal blockade with ACE inhibitors, angiotensin II antagonists and beta-blockers in patients with congestive heart failure: design of the Randomized Evaluation of Strategies for Left Ventricular Dysfunction (RESOLVD) Pilot Study.. BACKGROUND: The Randomized Evaluation of Strategies for Left Ventricular Dysfunction (RESOLVD) Pilot Study is a trial of combination neurohormonal blockade using an angiotensin II antagonist (candesartan), an angiotensin-converting enzyme inhibitor (enalapril) and a beta-blocker (metoprolol) in patients with congestive heart failure (CHF).	9444298	-1
2381	Subsequent health outcomes (including survival and readmission) within 3 months of discharge in those patients who received usual post-discharge care in Australia (n=100) and Scotland (n=75) were also compared.	Subsequent health outcomes (including survival and readmission) within 3 months of discharge in those patients who received usual post-discharge care in Australia (n=100) and Scotland (n=75) were also compared.	The baseline characteristics and treatment of 200 CHF patients recruited to a randomised study of a non-pharmacological intervention in Australia and 157 CHF patients concurrently recruited to a similar study in Scotland were compared.	11246064	-1
2382	Salt-sensitive hypertensive patients were randomized to receive double-blind omapatrilat (n=28) or lisinopril (n=33) at initial doses of 10 mg for 1 week, increasing to 40 and 20 mg, respectively, for an additional 3 weeks.	In conclusion, in salt-sensitive hypertensive patients, omapatrilat demonstrated the hormonal profile of a vasopeptidase inhibitor and lowered ambulatory diastolic and systolic blood pressures more than lisinopril.	In conclusion, in salt-sensitive hypertensive patients, omapatrilat demonstrated the hormonal profile of a vasopeptidase inhibitor and lowered ambulatory diastolic and systolic blood pressures more than lisinopril.	11751715	-1
2383	Blockade of the renin system has been attempted at 3 pivotal sites: the rate limiting angiotensinogen-renin step, conversion of angiotensin I to angiotensin II, and the active receptor sites for the terminal products of angiotensin II and aldosterone.	Blockade of the renin system has been attempted at 3 pivotal sites: the rate limiting angiotensinogen-renin step, conversion of angiotensin I to angiotensin II, and the active receptor sites for the terminal products of angiotensin II and aldosterone.	The renin angiotensin system is a major contributor to the pathophysiology of cardiovascular diseases such as congestive heart failure and hypertension.	7516858	-1
2384	Controversy about calcium-channel blockers (CCB) in the past 3 years has provided a natural experiment, enabling assessment of the impact of media stories, a national warning letter, a teleconference, small group workshops, and newsletters on first-line prescribing of antihypertensive drugs.	Controversy about calcium-channel blockers (CCB) in the past 3 years has provided a natural experiment, enabling assessment of the impact of media stories, a national warning letter, a teleconference, small group workshops, and newsletters on first-line prescribing of antihypertensive drugs.	METHODS: We included all physicians (4403) in British Columbia who prescribed a thiazide diuretic, beta-blocker, inhibitor of angiotensin-converting enzyme (ACE), or CCB as the first antihypertensive agent for 36,507 residents aged 66 years and over, with no previous or concurrent sign of underlying cardiovascular disease.	9752816	-1
2385	Usefulness and safety of treatment with captopril in posttransplant erythrocytosis..	Usefulness and safety of treatment with captopril in posttransplant erythrocytosis..	Usefulness and safety of treatment with captopril in posttransplant erythrocytosis..	7652789	-1
2386	A total of 6614 patients were randomized to receive conventional treatment, ACE inhibitors or calcium antagonists, and followed for a mean of 5 years.	The STOP-Hypertension-2 results thus add to the extensive literature showing the benefits of blood pressure reduction in elderly hypertensive patients.	A total of 6614 patients were randomized to receive conventional treatment, ACE inhibitors or calcium antagonists, and followed for a mean of 5 years.	11055467	-1
2387	OBJECTIVE: To assess the differential effects of low dose (5 mg) and high dose (20 mg) lisinopril treatment on cardiovascular hormones, renal function, and blood pressure over 24 hours in patients with heart failure.	OBJECTIVE: To assess the differential effects of low dose (5 mg) and high dose (20 mg) lisinopril treatment on cardiovascular hormones, renal function, and blood pressure over 24 hours in patients with heart failure.	OBJECTIVE: To assess the differential effects of low dose (5 mg) and high dose (20 mg) lisinopril treatment on cardiovascular hormones, renal function, and blood pressure over 24 hours in patients with heart failure.	8697160	-1
2388	PARTICIPANTS: 7487 patients taking a test dose of enalapril at enrolment to the treatment and prevention trials; 2569 patients with clinical signs of heart failure and established left ventricular dysfunction entered the treatment trial.	MAIN OUTCOME MEASURES: Discontinuation during the test dose period.	CONCLUSIONS: Treatment with angiotensin converting enzyme inhibitors can be safely started for patients with heart failure and left ventricular systolic dysfunction in primary care.	11061732	1
2389	Drug-associated agranulocytosis: experience at Strasbourg Teaching Hospital..	Drug-associated agranulocytosis: experience at Strasbourg Teaching Hospital..	Drug-associated agranulocytosis: experience at Strasbourg Teaching Hospital..	10547180	-1
2390	Effect of quinapril and triamterene/hydrochlorothiazide on cardiac and vascular end-organ damage in isolated systolic hypertension.. We compared, in a prospective double-blind randomized study, the effect of the angiotensin-converting enzyme inhibitor quinapril (QUI) with that of triamterene/hydrochlorothiazide (THCT) treatment on cardiovascular end-organ damage in subjects with untreated isolated systolic hypertension (ISH).	End-organ damage measurements, performed initially and after 6 and 26 weeks of treatment, included echocardiographic determination of left ventricular mass index (LVMI) and of diastolic function and measurement of aortic distensibility and peripheral vascular resistance.	Effect of quinapril and triamterene/hydrochlorothiazide on cardiac and vascular end-organ damage in isolated systolic hypertension.. We compared, in a prospective double-blind randomized study, the effect of the angiotensin-converting enzyme inhibitor quinapril (QUI) with that of triamterene/hydrochlorothiazide (THCT) treatment on cardiovascular end-organ damage in subjects with untreated isolated systolic hypertension (ISH).	9475259	-1
2391	The medical staff often becomes frustrated by severe hypertension in those who refuse to take medicines at home, drink excessive fluids, miss multiple dialysis sessions and sign-off dialysis early.	In addition to addressing the psychosocial, financial, educational and substance abuse problems which contribute to noncompliance, we have developed a medication strategy to serve as an at least interim means of lowering blood pressure.	The medical staff often becomes frustrated by severe hypertension in those who refuse to take medicines at home, drink excessive fluids, miss multiple dialysis sessions and sign-off dialysis early.	12487393	-1
2392	Of the 30 patients, 13 (4 with II genotype and 9 with ID and DD genotypes) were randomized to AHT (enalapril or metoprolol) during the study.	OBJECTIVE: To investigate the influence of the insertion/deletion polymorphism of the ACE gene on the progression of early diabetic glomerulopathy in patients with and without antihypertensive treatment (AHT).	RESEARCH DESIGN AND METHODS: There were 30 microalbuminuric patients with >5 years of type 1 diabetes who had renal biopsies taken at baseline and after 26-48 months of follow-up.	10857950	-1
